"date","home_team","away_team","home_score","away_score"
"2019-02-27","Norway","Denmark","2","1"
"2019-02-27","Sweden","Switzerland","4","1"
"2019-02-27","United States","Japan","2","2"
"2019-02-28","Argentina","South Korea","0","5"
"2019-03-01","China PR","Norway","1","3"
"2019-03-01","Portugal","Sweden","2","1"
"2019-03-03","Australia","South Korea","4","1"
"2019-03-04","Portugal","Switzerland","1","3"
"2019-03-05","Japan","England","0","3"
"2019-03-05","United States","Brazil","1","0"
"2019-03-06","Switzerland","Spain","0","2"
"2019-03-06","Australia","Argentina","3","0"
"2019-05-13","United States","South Africa","3","0"
"2019-06-07","France","South Korea","4","0"
"2019-06-08","Norway","Nigeria","3","0"
"2019-06-08","Germany","China PR","1","0"
"2019-06-08","Spain","South Africa","3","1"
"2019-06-09","Australia","Italy","1","2"
"2019-06-10","Argentina","Japan","0","0"
"2019-06-11","New Zealand","Netherlands","0","1"
"2019-06-12","Nigeria","South Korea","2","0"
"2019-06-12","France","Norway","2","1"
"2019-06-12","Germany","Spain","1","0"
"2019-06-14","Jamaica","Italy","0","5"
"2019-06-17","China PR","Spain","0","0"
"2019-06-18","Italy","Brazil","0","1"
"2019-06-20","Netherlands","Canada","2","1"
"2019-06-22","Norway","Australia","1","1"
"2019-06-23","France","Brazil","2","1"
"2019-06-25","Netherlands","Japan","2","1"
"2019-06-29","Germany","Sweden","1","2"
"2019-07-02","England","United States","1","2"
"2019-07-03","Netherlands","Sweden","1","0"
"2019-07-06","England","Sweden","1","2"
"2019-07-07","United States","Netherlands","2","0"
"2019-08-04","United States","Republic of Ireland","3","0"
"2019-08-30","United States","Portugal","4","0"
"2019-10-06","United States","South Korea","1","1"
"2019-11-07","Brazil","Canada","4","0"
"2019-11-10","China PR","Brazil","0","0"
"2019-11-10","Japan","South Africa","2","0"
"2020-02-01","United States","Panama","8","0"
"2020-02-04","United States","Costa Rica","6","0"
"2020-02-10","United States","Canada","3","0"
"2020-03-04","France","Canada","1","0"
"2020-03-04","Denmark","Norway","1","2"
"2020-03-04","Germany","Sweden","1","0"
"2020-03-05","United States","England","2","0"
"2020-03-07","France","Brazil","1","0"
"2020-03-07","Portugal","Sweden","0","2"
"2020-03-08","Japan","England","0","1"
"2020-03-08","United States","Spain","1","0"
"2020-03-11","United States","Japan","3","1"
"2020-10-27","Italy","Denmark","1","3"
"2021-01-23","United States","Colombia","6","0"
"2021-02-19","United States","Canada","1","0"
"2021-02-25","United States","Argentina","6","0"
"2003-09-11","Norway","Denmark","1","1"
"2003-09-20","Norway","France","2","0"
"2003-09-20","Germany","Canada","4","1"
"2003-09-20","Japan","Argentina","6","0"
"2003-09-21","United States","Sweden","3","1"
"2003-09-21","Brazil","South Korea","3","0"
"2003-09-24","France","South Korea","1","0"
"2003-09-24","Germany","Japan","3","0"
"2003-09-24","Canada","Argentina","3","0"
"2003-09-25","United States","Nigeria","5","0"
"2003-09-27","South Korea","Norway","1","7"
"2003-09-27","France","Brazil","1","1"
"2003-09-28","Sweden","Nigeria","3","0"
"2003-10-02","China PR","Canada","0","1"
"2003-10-11","United States","Canada","3","1"
"2003-11-15","Germany","Portugal","13","0"
"2004-02-01","China PR","United States","0","0"
"2004-02-07","Portugal","Germany","0","11"
"2004-03-16","Denmark","United States","0","1"
"2004-03-18","Denmark","France","0","1"
"2004-03-18","Sweden","United States","3","1"
"2004-03-20","Sweden","China PR","1","1"
"2004-03-20","United States","Norway","4","1"
"2004-03-21","Spain","Netherlands","0","0"
"2004-04-18","Spain","Denmark","0","1"
"2004-05-22","Italy","Switzerland","0","0"
"2004-05-22","Netherlands","Norway","0","2"
"2004-08-11","Sweden","Japan","0","1"
"2004-08-14","United States","Brazil","2","0"
"2004-08-17","United States","Australia","1","1"
"2004-08-23","Brazil","Sweden","1","0"
"2004-08-26","Germany","Sweden","1","0"
"2004-08-26","United States","Brazil","2","1"
"2004-09-29","Netherlands","Denmark","1","5"
"2005-03-09","France","United States","0","1"
"2005-03-11","China PR","Sweden","0","2"
"2005-03-11","Denmark","France","1","2"
"2005-03-13","United States","Denmark","4","0"
"2005-03-15","China PR","England","0","0"
"2005-06-06","Germany","Norway","1","0"
"2005-06-06","France","Italy","3","1"
"2005-06-09","Germany","Italy","4","0"
"2005-06-12","France","Germany","0","3"
"2005-06-12","Norway","Italy","5","3"
"2005-06-19","Germany","Norway","3","1"
"2006-01-18","China PR","France","1","1"
"2006-01-20","United States","France","0","0"
"2006-03-09","China PR","United States","0","0"
"2006-03-11","Sweden","Germany","0","3"
"2006-03-11","France","China PR","1","0"
"2006-03-13","Germany","Norway","1","0"
"2006-03-15","Norway","China PR","1","0"
"2006-05-26","Panama","Costa Rica","2","0"
"2006-07-19","Japan","Vietnam","5","0"
"2006-07-21","Vietnam","China PR","0","2"
"2006-07-27","Australia","Japan","2","0"
"2006-09-10","Haiti","Jamaica","0","3"
"2006-10-28","Italy","Canada","2","3"
"2006-10-29","Netherlands","Australia","0","1"
"2006-10-29","United States","Denmark","1","1"
"2006-10-30","South Korea","Canada","1","3"
"2006-10-31","Australia","United States","0","2"
"2006-10-31","Denmark","Netherlands","1","0"
"2006-11-01","South Korea","Italy","1","2"
"2006-11-02","United States","Netherlands","2","0"
"2006-11-04","Canada","United States","0","1"
"2006-11-19","Jamaica","Panama","2","0"
"2007-01-26","China PR","England","2","0"
"2007-01-28","China PR","Germany","0","0"
"2007-01-28","United States","England","1","1"
"2007-03-09","Norway","Denmark","0","1"
"2007-03-09","Sweden","China PR","1","0"
"2007-03-12","Germany","Denmark","3","0"
"2007-03-12","Sweden","United States","2","3"
"2007-03-12","Italy","Republic of Ireland","4","1"
"2007-03-14","Portugal","Republic of Ireland","0","0"
"2007-03-14","United States","Denmark","2","0"
"2007-05-30","Republic of Ireland","Italy","1","2"
"2007-08-22","Germany","Switzerland","7","0"
"2007-09-10","Germany","Argentina","11","0"
"2007-09-11","Nigeria","Sweden","1","1"
"2007-09-12","China PR","Denmark","3","2"
"2007-09-14","Sweden","United States","0","2"
"2007-09-15","Denmark","New Zealand","2","0"
"2007-09-17","Germany","Japan","2","0"
"2007-09-18","Nigeria","United States","0","1"
"2007-09-22","United States","England","3","0"
"2007-09-23","China PR","Norway","0","1"
"2007-09-26","Germany","Norway","3","0"
"2007-09-27","United States","Brazil","0","4"
"2007-09-30","Germany","Brazil","2","0"
"2007-11-25","England","Spain","1","0"
"2008-01-20","China PR","United States","0","1"
"2008-03-05","China PR","United States","0","4"
"2008-03-05","Portugal","Republic of Ireland","2","0"
"2008-03-07","Denmark","Sweden","1","0"
"2008-03-07","United States","Italy","2","0"
"2008-03-07","Norway","China PR","3","1"
"2008-03-07","Japan","Canada","0","3"
"2008-03-10","United States","Norway","4","0"
"2008-03-12","Denmark","United States","1","2"
"2008-03-12","Canada","United States","3","2"
"2008-03-24","South Korea","Philippines","4","0"
"2008-05-08","Portugal","Denmark","0","4"
"2008-05-31","South Korea","Australia","0","2"
"2008-06-02","Australia","Japan","1","3"
"2008-06-14","South Korea","New Zealand","2","1"
"2008-06-14","Canada","Argentina","5","0"
"2008-06-15","United States","Australia","2","1"
"2008-06-15","Brazil","Italy","2","1"
"2008-06-17","United States","Brazil","1","0"
"2008-06-17","Italy","Australia","0","3"
"2008-06-18","New Zealand","Canada","0","2"
"2008-06-18","South Korea","Argentina","2","0"
"2008-06-19","Italy","United States","0","2"
"2008-06-21","Canada","United States","0","1"
"2008-08-06","Germany","Brazil","0","0"
"2008-08-06","Japan","New Zealand","2","2"
"2008-08-09","Sweden","Argentina","1","0"
"2008-08-09","China PR","Canada","1","1"
"2008-08-09","United States","Japan","1","0"
"2008-08-09","New Zealand","Norway","0","1"
"2008-08-12","China PR","Argentina","2","0"
"2008-08-12","Nigeria","Brazil","1","3"
"2008-08-12","Norway","Japan","1","5"
"2008-08-15","China PR","Japan","0","2"
"2008-08-18","United States","Japan","4","2"
"2008-10-01","Switzerland","Germany","0","3"
"2008-10-25","Spain","Netherlands","0","2"
